date,account_id,username,type,amount,balance_after
2025-01-20 09:00,A1001,ali,deposit,500000,500000
2025-01-20 09:30,A1001,ali,withdraw,100000,400000
2025-01-20 10:00,A1005,zayn,deposit,200000,200000
2025-01-20 10:30,A1006,zayn,withdraw,30000,70000
2025-01-20 11:00,A1003,amir,deposit,750000,750000
2025-01-20 11:45,A1004,amir,withdraw,50000,2500002026-06-27 00:41:08,A1005,zayn,deposit,400000.0,800000.0
2026-06-27 00:41:25,A1006,zayn,withdraw,20000.0,80000.0
2026-06-27 00:41:48,A1005,zayn,transfer,-700000.0,100000.0
2026-06-27 00:41:48,A2000,zayn,transfer,700000.0,800000.0
2026-06-27 00:55:44,A1005,zayn,withdraw,50000.0,50000.0
2026-06-27 00:56:20,A1005,zayn,transfer,-25000.0,25000.0
2026-06-27 00:56:20,A1006,zayn,transfer,25000.0,105000.0
2026-06-27 01:00:21,A1005,zayn,withdraw,2000.0,23000.0
